iata_code,name,iso_country,iso_region,municipality,type,lat,lon
ANW,Ainsworth Regional Airport,US,US-NE,Ainsworth,small,-99.993,42.5792
ANX,Andøya Airport,NO,NO-18,Andenes,medium,16.1442,69.2925
ANY,Anthony Municipal Airport,US,US-KS,Anthony,small,-98.0796,37.1585
ANZ,Angus Downs Airport,AU,AU-NT,Angus Downs Station,small,132.2748,-25.0325
AOA,Aroa Airport,PG,PG-CPM,Agevairu,closed,146.8,-9.0254
AOB,Annanberg Airport,PG,PG-MPM,,small,144.6358,-4.9042
AOC,Altenburg-Nobitz Airport,DE,DE-TH,Altenburg,medium,12.5064,50.9819
AOD,Abou-Deïa Airport,TD,TD-SA,Abou-DeÃ¯a,small,19.2874,11.4773
AOE,Anadolu Airport,TR,TR-26,EskiÅehir,medium,30.5194,39.8099
AOG,Anshan Air Base,CN,CN-21,Anshan,medium,122.854,41.1053
AOH,Lima Allen County Airport,US,US-OH,Lima,small,-84.0267,40.7069
AOI,Ancona Falconara Airport,IT,IT-57,Ancona,medium,13.3623,43.6163
AOJ,Aomori Airport,JP,JP-02,Aomori,medium,140.691,40.7347
AOK,Karpathos Airport,GR,GR-81,Karpathos Island,medium,27.146,35.4214
AOL,Paso De Los Libres Airport,AR,AR-W,Paso de los Libres,medium,-57.1521,-29.6894
AOM,Adam Airport,OM,OM-DA,Adam,small,57.3839,22.4919
AOO,Altoona Blair County Airport,US,US-PA,Altoona,medium,-78.32,40.2964
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,PE,PE-LOR,Andoas,small,-76.4666,-2.7961
AOQ,Aappilattoq (Qaasuitsup) Heliport,GL,GL-U-A,Qaasuitsup,heliport,-55.5963,72.887
AOR,Sultan Abdul Halim Airport,MY,MY-02,Alor Satar,medium,100.398,6.1897
AOS,Amook Bay Seaplane Base,US,US-AK,Amook Bay,seaplane_base,-153.815,57.4715
AOT,Aosta Airport,IT,IT-23,Aosta,medium,7.3687,45.7385
AOU,Attopeu Airport,LA,LA-AT,Attopeu,small,107.0453,14.7931
APA,Centennial Airport,US,US-CO,Denver,medium,-104.849,39.5701
APB,Apolo Airport,BO,BO-L,Apolo,small,-68.4119,-14.7356
